transaction_id,amount,merchant_category,hour,day_of_week,is_weekend,user_age,account_age_days,is_fraud,timestamp,amount_log,amount_bin,hour_bin
txn_000000,10.89,grocery,8,4,0,28,2165,0,2025-05-14 14:16:08.131609,2.4756977107026903,low,morning
txn_000001,45.55,grocery,8,3,0,19,2421,0,2024-11-01 14:16:08.131706,3.840527003723076,low,morning
txn_000002,252.99,online,1,5,1,33,15,1,2025-02-28 14:16:08.131778,5.5372948961647745,high,night
txn_000003,21.59,restaurant,17,4,0,74,3232,0,2024-10-19 14:16:08.131821,3.1175073304799117,low,afternoon
txn_000004,24.7,gas_station,14,0,0,67,2071,0,2024-09-10 14:16:08.131859,3.246490991901174,low,afternoon
txn_000005,32.14,grocery,9,3,0,77,1508,0,2024-12-01 14:16:08.131906,3.500741011998417,low,morning
txn_000006,173.44,online,3,1,0,23,54,1,2024-12-05 14:16:08.131957,5.1615808429745655,high,night
txn_000007,48.88,online,20,1,0,61,191,0,2024-11-25 14:16:08.132002,3.909620120811836,low,evening
txn_000008,69.82,grocery,17,4,0,57,2797,0,2024-09-18 14:16:08.132041,4.2601414466837575,medium,afternoon
txn_000009,5.28,restaurant,13,3,0,77,2265,0,2025-07-12 14:16:08.132077,1.8373699804801074,very_low,afternoon
txn_000010,5.07,grocery,13,0,0,28,1552,0,2025-03-12 14:16:08.132113,1.803358605071407,very_low,afternoon
txn_000011,8.44,grocery,16,0,0,56,3095,0,2025-07-25 14:16:08.132149,2.244955980157409,very_low,afternoon
txn_000012,7.33,restaurant,21,4,0,79,1781,0,2025-05-15 14:16:08.132184,2.1198634561787513,very_low,evening
txn_000013,99.45,online,11,6,1,18,2690,0,2025-04-13 14:16:08.132219,4.609660091260944,medium,morning
txn_000014,147.74,grocery,12,1,0,32,1068,0,2025-07-11 14:16:08.132254,5.002199815275154,high,morning
txn_000015,46.44,grocery,8,3,0,56,3342,0,2025-05-18 14:16:08.132288,3.85946575468947,low,morning
txn_000016,44.6,online,20,6,1,53,2602,0,2025-02-16 14:16:08.132322,3.8199077165203406,low,evening
txn_000017,11.84,gas_station,17,0,0,62,1627,0,2025-04-10 14:16:08.132357,2.552565298261815,low,afternoon
txn_000018,21.87,restaurant,19,3,0,75,2068,0,2025-01-03 14:16:08.132391,3.12982600803469,low,evening
txn_000019,8.18,grocery,6,3,0,79,2710,0,2025-01-01 14:16:08.132426,2.217027204632399,very_low,night
txn_000020,37.6,grocery,19,3,0,68,1287,0,2025-03-23 14:16:08.132460,3.653252276470785,low,evening
txn_000021,9.49,grocery,11,3,0,41,3334,0,2025-05-01 14:16:08.132493,2.3504224224082058,very_low,morning
txn_000022,14.21,restaurant,12,0,0,66,1666,0,2025-06-02 14:16:08.132528,2.7219531062712017,low,morning
txn_000023,14.55,restaurant,7,4,0,71,884,0,2025-01-10 14:16:08.132561,2.744060638625243,low,morning
txn_000024,18.64,restaurant,17,6,1,23,1469,0,2024-10-02 14:16:08.132596,2.97756830292632,low,afternoon
txn_000025,21.73,grocery,13,4,0,55,2357,0,2025-05-16 14:16:08.132631,3.123685637864452,low,afternoon
txn_000026,13.73,grocery,6,4,0,76,3427,0,2024-12-06 14:16:08.132665,2.689886230474539,low,night
txn_000027,35.76,grocery,16,6,1,43,2016,0,2025-03-28 14:16:08.132701,3.6044102974874863,low,afternoon
txn_000028,50.81,grocery,13,1,0,45,2550,0,2025-03-24 14:16:08.132735,3.947583180826697,medium,afternoon
txn_000029,2.8,grocery,15,1,0,77,2221,0,2025-05-02 14:16:08.132770,1.33500106673234,very_low,afternoon
txn_000030,6.64,gas_station,21,2,0,22,3138,0,2025-08-13 14:16:08.132804,2.033397603178429,very_low,evening
txn_000031,39.83,retail,8,5,1,20,433,0,2025-04-24 14:16:08.132839,3.709417105331484,low,morning
txn_000032,63.63,grocery,19,2,0,79,1526,0,2025-03-22 14:16:08.132873,4.168678699274804,medium,evening
txn_000033,1279.25,online,0,4,0,39,163,1,2025-03-06 14:16:08.132929,7.15481065034266,extreme,
txn_000034,32.96,retail,21,2,0,25,1188,0,2025-04-16 14:16:08.132965,3.5251833614431467,low,evening
txn_000035,22.57,restaurant,17,5,1,39,3476,0,2024-12-27 14:16:08.132999,3.1599747169480397,low,afternoon
txn_000036,32.74,retail,13,5,1,51,3378,0,2025-05-17 14:16:08.133034,3.5186840771178223,low,afternoon
txn_000037,50.07,online,21,2,0,77,845,0,2025-08-18 14:16:08.133067,3.9331972406595526,medium,evening
txn_000038,49.09,gas_station,23,2,0,38,6,1,2025-01-01 14:16:08.133113,3.9138213873695253,low,evening
txn_000039,53.65,restaurant,18,2,0,70,636,0,2025-02-15 14:16:08.133147,4.000949214622548,medium,afternoon
txn_000040,14.2,grocery,12,1,0,20,157,0,2024-11-14 14:16:08.133181,2.7212954278522306,low,morning
txn_000041,7.28,retail,11,1,0,57,2763,0,2024-11-07 14:16:08.133215,2.1138429683971682,very_low,morning
txn_000042,8.97,online,15,0,0,34,3205,0,2024-10-27 14:16:08.133249,2.299580583973747,very_low,afternoon
txn_000043,15.63,grocery,12,2,0,72,567,0,2024-10-20 14:16:08.133283,2.8112082932048366,low,morning
txn_000044,33.92,retail,14,5,1,37,2398,0,2025-04-02 14:16:08.133317,3.5530597309714014,low,afternoon
txn_000045,79.2,grocery,12,6,1,51,863,0,2024-09-14 14:16:08.133387,4.384523514872469,medium,morning
txn_000046,38.47,grocery,6,2,0,23,1107,0,2025-05-13 14:16:08.133424,3.675540889674756,low,night
txn_000047,38.13,grocery,10,6,1,61,34,0,2025-02-07 14:16:08.133459,3.666889436222321,low,morning
txn_000048,22.77,retail,8,4,0,69,2733,0,2025-04-20 14:16:08.133494,3.1684242813721024,low,morning
txn_000049,9.1,online,8,6,1,36,1111,0,2024-09-10 14:16:08.133529,2.312535423847214,very_low,morning
txn_000050,76.88,online,0,5,1,19,96,1,2025-04-26 14:16:08.133577,4.3551691805039985,medium,
txn_000051,174.39,gas_station,13,4,0,18,3373,0,2025-02-11 14:16:08.133613,5.167012065770046,high,afternoon
txn_000052,8.79,retail,17,5,1,68,1026,0,2025-02-18 14:16:08.133648,2.281361456542419,very_low,afternoon
